train_losses,val_losses,val_accs
0.6646385010655808,0.3253153860569,0.9178571428571428
0.2924572455737254,0.19968707859516144,0.9503968253968254
0.21068269559654637,0.1422811597585678,0.957936507936508
0.1713881541677899,0.10848336666822433,0.9638888888888889
0.1462489113724534,0.09360262006521225,0.9666666666666667
0.12912655151044222,0.07633619010448456,0.9678571428571429
0.11660132565252158,0.07054398953914642,0.9726190476190476
0.10692749121158883,0.06245185434818268,0.9833333333333333
0.09708335935948012,0.06104354187846184,0.9837301587301587
0.09432818921767108,0.05320879444479942,0.9837301587301587
0.09110764891374856,0.04976951330900192,0.9861111111111112
0.08466818488027522,0.047398895025253296,0.9865079365079366
0.08277408196253405,0.049066293984651566,0.9845238095238096
0.07768222275763696,0.04316757619380951,0.9865079365079366
0.07605000916595125,0.04643741995096207,0.9845238095238096
0.07631207104482135,0.040231943130493164,0.9884920634920635
0.070999151327735,0.04077780619263649,0.986904761904762
0.07080631476128474,0.03752446174621582,0.9861111111111112
0.06997180403297956,0.04023490473628044,0.9880952380952381
0.06869134591872116,0.04600469768047333,0.9861111111111112
0.07004135333345798,0.040464870631694794,0.9865079365079366
0.06152127887606553,0.03627852723002434,0.9904761904761905
0.062224631204921076,0.04059191420674324,0.9873015873015873
0.06125935495989667,0.03523929789662361,0.9896825396825397
0.0630690076741039,0.03377478942275047,0.9892857142857143
0.057596287345075034,0.03328723832964897,0.9892857142857143
0.060466096350126834,0.03646519407629967,0.9873015873015873
0.05859378983534069,0.032768864184617996,0.9896825396825397
0.06067978800569688,0.031678810715675354,0.9924603174603175
0.055563000597285805,0.03285596892237663,0.9904761904761905
0.05305281417710923,0.033100880682468414,0.9904761904761905
0.05923494025457488,0.03267931938171387,0.9896825396825397
0.05536820241072944,0.029697084799408913,0.9896825396825397
0.05382315869539288,0.03230759873986244,0.9900793650793651
0.05188208298405052,0.03105754591524601,0.9912698412698413
0.05490618929573996,0.030974561348557472,0.9916666666666667
0.04845283854123461,0.03238825500011444,0.9900793650793651
0.04868825431955317,0.029469160363078117,0.9892857142857143
0.05020218211817943,0.028533166274428368,0.9932539682539683
0.051085334715764104,0.030823074281215668,0.9896825396825397
0.05156737834129118,0.030861515551805496,0.9884920634920635
0.04721912617442549,0.030544262379407883,0.9884920634920635
0.05005635708073606,0.029690999537706375,0.9908730158730159
0.046209769233942294,0.030084306374192238,0.9900793650793651
0.04780698351332567,0.0345425121486187,0.9884920634920635
0.04672702399767476,0.028633853420615196,0.9920634920634921
0.04797936046278388,0.026334937661886215,0.9932539682539683
0.04451917243304838,0.029444631189107895,0.9892857142857143
0.05081130363565087,0.030079351738095284,0.9884920634920635
0.04557359329698121,0.025842182338237762,0.9924603174603175
