train_losses,val_losses,val_accs
0.6835200320119443,0.3166547119617462,0.921031746031746
0.2907979721068472,0.17575794458389282,0.9519841269841269
0.16515921480764728,0.10130075365304947,0.9702380952380952
0.09990420873087925,0.075616255402565,0.9761904761904762
0.08153222268784716,0.06671810895204544,0.9761904761904762
0.06970967671941912,0.047565240412950516,0.9845238095238096
0.06902610905556197,0.06032168120145798,0.9813492063492063
0.06492488159278435,0.045824892818927765,0.9837301587301587
0.06029429837160379,0.049118611961603165,0.986904761904762
0.05661618233442414,0.05307060107588768,0.9825396825396825
0.053519568216237844,0.0543350949883461,0.9833333333333333
0.048891166155057814,0.05353573337197304,0.9837301587301587
0.04795241759764368,0.04663189873099327,0.9853174603174604
0.05659410133417966,0.04883550852537155,0.9845238095238096
0.04661593505812377,0.038312580436468124,0.9873015873015873
0.04315951657802056,0.03668258339166641,0.9892857142857143
0.043082450679334666,0.041638318449258804,0.9896825396825397
0.04618215565215391,0.03617042303085327,0.9912698412698413
0.04049146917047134,0.033344294875860214,0.9920634920634921
0.03331282962703288,0.03394902125000954,0.9908730158730159
0.033034627216377135,0.03848477080464363,0.9896825396825397
0.03199408646353244,0.038082435727119446,0.9900793650793651
0.035319525081844855,0.054040417075157166,0.9833333333333333
0.03408769041340312,0.03564877435564995,0.9904761904761905
0.030787831749256693,0.037220682948827744,0.9900793650793651
0.032281261554959674,0.03856518119573593,0.9904761904761905
0.028966052678710632,0.05242070555686951,0.9888888888888889
0.02958442847391226,0.029604800045490265,0.9932539682539683
0.029682939294497886,0.03254783898591995,0.9916666666666667
0.024286292267050525,0.03317669406533241,0.9904761904761905
0.037883606273891826,0.0324297770857811,0.9924603174603175
0.02739136548167891,0.027532638981938362,0.9924603174603175
0.02418589613038078,0.03145204856991768,0.9912698412698413
0.022632276672031392,0.030585046857595444,0.9904761904761905
0.02669847991711467,0.04233625903725624,0.9896825396825397
0.02368929115059934,0.03261970728635788,0.9904761904761905
0.023227032124587044,0.03419697284698486,0.9900793650793651
0.02536890973514992,0.033324237912893295,0.9916666666666667
0.026743396595744685,0.030938774347305298,0.9912698412698413
0.022832765182207317,0.030465712770819664,0.9920634920634921
0.020538720131878727,0.054269663989543915,0.9892857142857143
0.019993731447713166,0.031080061569809914,0.9936507936507937
0.017925715849834385,0.032421912997961044,0.9912698412698413
0.024406568869670846,0.034722574055194855,0.9916666666666667
0.021304584919984125,0.028880326077342033,0.9936507936507937
0.018331604636393647,0.03291495889425278,0.9928571428571429
0.021374795144568096,0.025307927280664444,0.9940476190476191
0.018786029759159672,0.03585049882531166,0.9916666666666667
0.019252893353647476,0.02987693063914776,0.9912698412698413
0.016623315525910162,0.030174270272254944,0.9936507936507937
