s1_th,s2_th,acc,f1,uk_recall,normal_to_attack,normal_to_satan
0.3,0.75,0.768319730305181,0.7287082955502723,0.3698666666666667,415,0
0.7,0.75,0.7682753726046841,0.7277322613408354,0.36186666666666667,381,0
0.6,0.75,0.7681422995031938,0.7277379854560521,0.36186666666666667,388,0
0.4,0.75,0.768097941802697,0.7282000586859736,0.3664,407,0
0.5,0.75,0.7676543647977289,0.7274247625900168,0.36186666666666667,399,0
0.3,0.7,0.7669889992902768,0.7269256850981612,0.3488,415,0
0.7,0.7,0.76694464158978,0.7258951777693271,0.3408,381,0
0.6,0.7,0.7668115684882896,0.7259000547198313,0.3408,388,0
0.4,0.7,0.7667672107877928,0.72639389276838,0.3453333333333333,407,0
0.5,0.7,0.7663236337828248,0.7255879912602408,0.3408,399,0
0.3,0.8,0.7645936834634492,0.7259613973456601,0.39626666666666666,415,0
0.7,0.8,0.7645049680624556,0.724988033001621,0.388,381,0
0.6,0.8,0.7644162526614621,0.7250516662291255,0.38826666666666665,388,0
0.4,0.8,0.7643718949609652,0.7254830643193346,0.3928,407,0
0.5,0.8,0.7639283179559971,0.7247506370420543,0.38826666666666665,399,0
0.7,0.6,0.7606902058197303,0.7172363109137112,0.28426666666666667,381,0
0.3,0.6,0.7606014904187367,0.7183076826116983,0.29146666666666665,415,0
0.6,0.6,0.7605571327182399,0.7172657230846404,0.28426666666666667,388,0
0.4,0.6,0.7603797019162527,0.7177053682085972,0.288,407,0
0.5,0.6,0.7600691980127751,0.7169916110689437,0.28426666666666667,399,0
0.7,0.5,0.7519517388218595,0.7064454252752617,0.188,381,0
0.6,0.5,0.751818665720369,0.7065204974377886,0.188,388,0
0.5,0.5,0.7513307310149042,0.7062877500710775,0.188,399,0
0.4,0.5,0.7510645848119234,0.7062885710623845,0.18826666666666667,407,0
0.3,0.5,0.7507097232079489,0.7061844923610715,0.18826666666666667,415,0
